Agency,Name,Position,Remuneration,Expenses,Year,Sector
Transit Police,"Dennis, Nicole",Designated Constable 1st Class,98659,2724,2020,Municipal Police
Transit Police,"Di Stefano, Kelly",Crime Analyst,88331,34,2020,Municipal Police
Transit Police,"Eeg, Chris",Forensic Video Analyst,83546,,2020,Municipal Police
Transit Police,"Ginogino, Victor","Manager, Facilities",108908,,2020,Municipal Police
Transit Police,"Glassford, Clark",Human Resources Manager,128595,1605,2020,Municipal Police
Transit Police,"Hackwood, Susanne",Team Leader Police Communications Operator,97843,48,2020,Municipal Police
Transit Police,"Hampton, Clinton",Sergeant,138296,,2020,Municipal Police
Transit Police,"Hanif, Shiraaz",Designated Constable 1st Class,115154,,2020,Municipal Police
Transit Police,"Hansell, Allison",Police Communications Operator,90105,63,2020,Municipal Police
Transit Police,"Hermann, Daffydd","Inspector, Support Services",195041,2321,2020,Municipal Police
Transit Police,"Hervias, Clint",Designated Constable Level I,92881,,2020,Municipal Police
Transit Police,"Hicks, Barry","Inspector, Support Services",202137,596,2020,Municipal Police
Transit Police,"Huber, Dex","Inspector, Operations",198857,8,2020,Municipal Police
Transit Police,"Johnson, Samantha","EA, Chief Officer",77775,34,2020,Municipal Police
Transit Police,"Jones, Dave",Chief Officer,232306,24393,2020,Municipal Police
Transit Police,"Kirk, Heather",Quality Review Reader,86257,,2020,Municipal Police
Transit Police,"Koch, Patrick","Manager, Risk & Emergency Planning",133578,34,2020,Municipal Police
Transit Police,"Kross, Barry","Deputy Chief Officer, Admininstrative Services",222653,6685,2020,Municipal Police
Transit Police,"Kyle, CJ","PDMES, Inspector",188016,3478,2020,Municipal Police
Transit Police,"Lamond, Marta","HR Advisor, Employee Services",96372,1633,2020,Municipal Police
Transit Police,"Lee, Brenda",Police Communications Operator,77394,19,2020,Municipal Police
Transit Police,"Lightburn, Sean",Sergeant - Level 1,129417,1069,2020,Municipal Police
Transit Police,"Manak, Sanjit","Manager, Information Management",93687,645,2020,Municipal Police
Transit Police,"Manning, Doreen",PRIME Administrator,85037,500,2020,Municipal Police
Transit Police,"Nielsen, Beth",Senior Policy & Planning Advisor,119616,2668,2020,Municipal Police
Transit Police,"Ponsioen, Julien",Designated Constable 1st Class,115823,1298,2020,Municipal Police
Transit Police,"Puddell, Tanya",Police Communications Operator,89446,86,2020,Municipal Police
Transit Police,"Ranquist, Gwen",Designated Constable 1st Class,111229,961,2020,Municipal Police
Transit Police,"Rattray, Kirk",Designated Constable 1st Class,118064,,2020,Municipal Police
Transit Police,"Reilly, Carolyn","Manager, Operations Communications Centre",101924,293,2020,Municipal Police
Transit Police,"Rotella, Michelle",Police Communications Operator,81046,43,2020,Municipal Police
Transit Police,"Shipley, Bruce",Designated Constable Level I,129800,57,2020,Municipal Police
Transit Police,"Simpkin, Cheryl",Sergeant - Level 1,129801,800,2020,Municipal Police
Transit Police,"Smith, Cathy","HR Advisor, Ability Management & Benefits",86395,407,2020,Municipal Police
Transit Police,"Smolic, Tom","Manager, Financial Services",137135,1713,2020,Municipal Police
Transit Police,"Steele, Kelly",Training Coordinator,79327,,2020,Municipal Police
Transit Police,"Teitelbaum, Miles",Designated Constable 1st Class,108858,69,2020,Municipal Police
Transit Police,"Telan, Dennis",Police Communications Operator,93033,20,2020,Municipal Police
Transit Police,"Tobias, Linda",Communications Advisor,78598,,2020,Municipal Police
Transit Police,"Tyakoff, Alex",Business Support Advisor,95257,34,2020,Municipal Police
Transit Police,"Weiss, Ingrid",Quality Review Reader,76646,,2020,Municipal Police
Transit Police,"Wood, Stephanie",Crime Analyst,79161,34,2020,Municipal Police
Transit Police,"Yake, Michael",Designated Constable 1st Class,114041,,2020,Municipal Police
Transit Police,"Zeng, Yumin",Accounting Analyst,82714,950,2020,Municipal Police
Delta police,,Accident Recon 10 Yr,128274,1770,2020,Municipal Police
Delta police,,Accident Recon 1st Cl,132317,380,2020,Municipal Police
Delta police,,Acting Sergeant,127037,0,2020,Municipal Police
Delta police,,Acting Sergeant,181243,1540,2020,Municipal Police
Delta police,,Acting Sergeant,121676,524,2020,Municipal Police
Delta police,,Acting Sergeant,141301,1030,2020,Municipal Police
Delta police,,Acting Sergeant,159943,0,2020,Municipal Police
Delta police,,Acting Sergeant,132416,0,2020,Municipal Police
Delta police,,Acting Sergeant,129346,888,2020,Municipal Police
Delta police,,Acting Staff Sergeant,144478,192,2020,Municipal Police
Delta police,"Campbell, Kimberly",Inspector,200544,5025,2020,Municipal Police
Delta police,"Chahal, Kanwaldeep",DPD Information Tech Manager,129810,3307,2020,Municipal Police
Delta police,"Cicalo, James",DPD Lead Programmer Analyst,112803,1039,2020,Municipal Police
Delta police,,Constable 1st Class,113960,1281,2020,Municipal Police
Delta police,,Constable 1st Class,108575,35,2020,Municipal Police
Delta police,,Constable 1st Class,143459,7775,2020,Municipal Police
Delta police,,Constable 1st Class,114584,15,2020,Municipal Police
Delta police,,Constable 1st Class,117327,100,2020,Municipal Police
Delta police,,Constable 1st Class,113288,16,2020,Municipal Police
Delta police,,Constable 1st Class,115918,0,2020,Municipal Police
Delta police,,Constable 1st Class,110706,3366,2020,Municipal Police
Delta police,,Constable 1st Class,121710,1996,2020,Municipal Police
Delta police,,Constable 1st Class,117005,3202,2020,Municipal Police
Delta police,,Constable 1st Class,119742,0,2020,Municipal Police
Delta police,,Constable 1st Class,114159,100,2020,Municipal Police
Delta police,,Constable 1st Class,117115,115,2020,Municipal Police
Delta police,,Constable 1st Class,113512,1083,2020,Municipal Police
Delta police,,Constable 1st Class,118912,84,2020,Municipal Police
Delta police,,Constable 1st Class,117447,2532,2020,Municipal Police
Delta police,,Constable 1st Class,112158,0,2020,Municipal Police
Delta police,,Constable 1st Class,116690,832,2020,Municipal Police
Delta police,,Constable 1st Class,95826,19,2020,Municipal Police
Delta police,,Constable 1st Class,107333,576,2020,Municipal Police
Delta police,,Constable 1st Class,119959,116,2020,Municipal Police
Delta police,,Constable 1st Class,123012,1560,2020,Municipal Police
Delta police,,Constable 1st Class,117397,247,2020,Municipal Police
Delta police,,Constable 1st Class,127509,-273,2020,Municipal Police
Delta police,,Constable 1st Class,130294,869,2020,Municipal Police
Delta police,,Constable 1st Class,119365,16,2020,Municipal Police
Delta police,,Constable 1st Class,114165,100,2020,Municipal Police
Delta police,,Constable 1st Class,120321,14,2020,Municipal Police
Delta police,,Constable 1st Class,113077,42,2020,Municipal Police
Delta police,,Constable 1st Class,115471,1076,2020,Municipal Police
Delta police,,Constable 1st Class,109553,1582,2020,Municipal Police
Delta police,,Constable 1st Class,116695,1815,2020,Municipal Police
Delta police,,Constable 1st Class,115594,19,2020,Municipal Police
Delta police,,Constable 1st Class,112558,200,2020,Municipal Police
Delta police,,Constable 1st Class,114555,0,2020,Municipal Police
Delta police,,Constable 1st Class,102895,1144,2020,Municipal Police
Delta police,,Constable 1st Class,107646,900,2020,Municipal Police
Delta police,,Constable 1st Class,141956,3050,2020,Municipal Police
Delta police,,Constable 1st Class,111635,0,2020,Municipal Police
Delta police,,Constable 1st Class,122369,420,2020,Municipal Police
Delta police,,Constable 1st Class,109233,19,2020,Municipal Police
Delta police,,Constable 1st Class,108596,16,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,115103,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,132021,814,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,115381,1171,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,119440,138,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,158647,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,155076,108,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,93575,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,118063,3111,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,114691,2613,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,152933,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,85013,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,133826,223,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,114016,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,117237,2362,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,114671,3566,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,117131,15,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,139559,7698,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,118070,505,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,119605,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,130282,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,113721,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,156334,1960,2020,Municipal Police
